ID_Pedido,Nome_Cliente,Valor_Compra,Data_Pedido,Categoria_Produto
P0001,Ana Costa,3974.76,2022-06-28,laptop
P0002,João Silva,4385.25,2023-11-23,Smartphone
P0003,Pedro Santos,1103.51,2022-02-14,Smartphone
P0004,Maria Oliveira,3849.32,2024-02-06,Acessórios
P0005,João Silva,4879.59,2022-09-30,Fone de Ouvido
P0006,João Silva,4506.94,2023-08-21,Smartphone
P0007,Pedro Santos,2570.47,2022-07-01,Smartphone
P0008,Ana Costa,676.57,2024-01-25,Smartphone
P0009,João Silva123,2065.9,2024-05-28,Fone de Ouvido
P0010,Joao Silva123,412.92,2022-09-16,Fone de Ouvido
P0011,Lucas Pereira,2544.85,02-11-22,Fone de Ouvido
P0012,Pedro Santos,67.7,2022-04-03,Fone de Ouvido
P0013,Pedro Santos,843431.9704813127,2025-02-09,Acessórios
P0014,Lucas Pereira,,2024-08-09,Fone de Ouvido
P0015,Ana Costa,2925.99,2023-03-30,Acessórios
P0016,Lucas Pereira,4512.76,2024-10-07,laptop
P0017,Ana Costa,4779.13,2022-02-14,televisão
P0018,Lucas Pereira,1641.02,2023-01-23,Acessórios
P0019,Joao Silva,3558.18,2024-06-05,Acessórios
P0020,Lucas Pereira,2632.82,2024-11-26,laptop
P0021,,,2023-04-28,Acessórios
P0022,,1553.47,2025-01-13,Fone de Ouvido
P0023,Pedro Santos,2045.46,2023-12-07,Acessórios
P0024,João Silva,373.63,2022-10-26,laptop
P0025,Lucas Pereira,4714.34,2024-03-28,Acessórios
P0026,Lucas Pereira,2244.13,2024-08-29,Fone de Ouvido
P0027,Lucas Pereira123,3595.33,2022-01-27,Acessórios
P0028,Pedro Santos,1841.37,2024-08-25,Smartphone
P0029,Lucas Pereira,4347.71,2023-06-25,Smartphone
P0030,Lucas Pereira,4341.08,2022-10-06,televisão
P0031,Joao Silva,1970.93,2023-08-04,Smartphone
P0032,Pedro Santos,3387.92,29/01/2022,laptop
P0033,Joao Silva,2197.48,2023-05-13,Acessórios
P0034,Maria Oliveira,1674.73,2024-03-31,Smartphone
P0035,Lucas Pereira,1107.43,2022-10-11,Fone de Ouvido
P0036,Pedro Santos,1760.09,2024-12-12,Acessórios
P0037,Ana Costa123,4636.06,2022-05-09,Acessórios
P0038,Ana Costa,1349.23,2022-06-23,laptop
P0039,Maria Oliveira,3249.38,2022-05-03,laptop
P0040,Pedro Santos,556.81,2024-09-07,laptop
P0041,Lucas Pereira123,2469.98,2023-10-26,Acessórios
P0042,Pedro Santos,3798.48,2024-05-06,Smartphone
P0043,João Silva,2771.92,2022-05-25,laptop
P0044,João Silva,645.79,2023-03-06,Fone de Ouvido
P0045,Lucas Pereira,R$ 689.85,2023-10-01,televisão
P0046,Joao Silva,2229.21,2022-02-28,Acessórios
P0047,Pedro Santos,1075.62,2023-09-23,Smartphone
P0048,Pedro Santos,3868.61,2024-05-11,Acessórios
P0049,Ana Costa,2482.31,2022-06-17,laptop
P0050,Pedro Santos,1388.74,11/03/2023,Smartphone
P0051,Ana Costa,2877.22,2022-08-03,televisão
P0052,Lucas Pereira,759.16,2024-05-17,Acessórios
P0053,Maria Oliveira,2784.66,2024-09-08,televisão
P0054,Ana Costa,4396.89,2024-12-28,Smartphone
P0055,João Silva,1700.59,2022-03-19,laptop
P0056,Joao Silva,1318.92,2023-04-02,Fone de Ouvido
P0057,Maria Oliveira,810.42,2023-07-26,Acessórios
P0058,Pedro Santos,833.38,2023-08-06,televisão
P0059,,3080.06,2022-11-30,Fone de Ouvido
P0060,Lucas Pereira123,1932.68,27/04/2024,laptop
P0061,Maria Oliveira,1418.61,2022-06-18,Acessórios
P0062,Ana Costa,2815.0,2022-03-21,Fone de Ouvido
P0063,João Silva,526.41,2022-11-06,televisão
P0064,Lucas Pereira,3873.55,2024-01-24,Smartphone
P0065,Maria Oliveira,843431.9704813127,2024-05-21,Smartphone
P0066,Lucas Pereira,4539.44,2023-05-30,Smartphone
P0067,Lucas Pereira,580.56,2023-12-31,televisão
P0068,Ana Costa,220.59,2024-11-05,Smartphone
P0069,Pedro Santos,2876.35,2022-06-21,Acessórios
P0070,Joao Silva,607.27,2023-09-05,televisão
P0071,Maria Oliveira,2561.03,18/02/2025,televisão
P0072,,R$ 346.01,2024-07-26,televisão
P0073,Ana Costa,2069.39,2022-09-11,Fone de Ouvido
P0074,Ana Costa,1332.43,2023-05-14,Acessórios
P0075,Lucas Pereira,524.94,2024-06-28,Fone de Ouvido
P0076,Ana Costa,3199.14,2023-09-21,Acessórios
P0077,João Silva,1472.96,16-01-24,televisão
P0078,Maria Oliveira,4142.17,2025-01-26,laptop
P0079,João Silva,4800.52,2022-10-05,Smartphone
P0080,Ana Costa,3335.03,2023-12-07,televisão
P0081,Pedro Santos,4648.66,2024-08-06,Smartphone
P0082,Lucas Pereira,1589.89,2023-08-06,televisão
P0083,Pedro Santos,3746.36,2023-07-07,Fone de Ouvido
P0084,Ana Costa,1176.26,2023-08-13,Smartphone
P0085,Pedro Santos,446.11,2024-10-25,televisão
P0086,Joao Silva,831.65,2022-08-30,laptop
P0087,João Silva,2559.84,01-05-23,laptop
P0088,,1780.48,09-11-23,Smartphone
P0089,Maria Oliveira,1793.23,29-08-23,Fone de Ouvido
P0090,Maria Oliveira,3948.55,2024-06-04,televisão
P0091,Maria Oliveira,R$ 221.98,2023-01-07,Fone de Ouvido
P0092,Ana Costa,,2022-06-20,laptop
P0093,João Silva,4700.29,2022-09-23,Fone de Ouvido
P0094,Pedro Santos,3947.67,2022-08-10,Acessórios
P0095,Maria Oliveira,3589.73,2023-08-20,Acessórios
P0096,Lucas Pereira,1597.24,2023-06-07,Fone de Ouvido
P0097,Maria Oliveira,3618.29,17/02/2023,televisão
P0098,Lucas Pereira,966.57,2024-08-14,Acessórios
P0099,João Silva,1349.56,2023-08-02,televisão
P0100,,4354.31,2023-03-04,Fone de Ouvido
P0101,João Silva,2750.28,2022-12-02,laptop
P0102,Pedro Santos,1523.96,2022-09-10,Smartphone
P0103,,3920.41,2022-09-12,Smartphone
P0104,Maria Oliveira123,3592.03,2022-02-19,Smartphone
P0105,Lucas Pereira,1526.63,2023-02-04,televisão
P0106,João Silva,539.14,2024-01-10,Fone de Ouvido
P0107,,2032.23,2022-02-02,Fone de Ouvido
P0108,Maria Oliveira,2543.82,01-02-25,Fone de Ouvido
P0109,Ana Costa,1646.94,2023-03-28,laptop
P0110,Ana Costa,606.28,23-04-22,laptop
